no,email,EXPERIENCE,TECH,dependend
18733,user18733@example.com,38,javascript,0
1145,user1145@example.com,40,python,1
15620,user15620@example.com,3,java,0
4501,user4501@example.com,39,python,1
3637,user3637@example.com,25,python,1
8242,user8242@example.com,21,python,1
9784,user9784@example.com,21,python,1
694,user694@example.com,11,python,1
1895,user1895@example.com,12,python,1
11013,user11013@example.com,1,java,0
8883,user8883@example.com,30,python,1
16045,user16045@example.com,1,c++,0
16043,user16043@example.com,8,c++,0
17833,user17833@example.com,4,go,0
2283,user2283@example.com,31,python,1
2644,user2644@example.com,18,python,1
7900,user7900@example.com,11,python,1
12780,user12780@example.com,8,go,0
12115,user12115@example.com,6,c++,0
6956,user6956@example.com,26,python,1
16056,user16056@example.com,6,javascript,0
6025,user6025@example.com,26,python,1
9440,user9440@example.com,39,python,1
4578,user4578@example.com,25,python,1
2208,user2208@example.com,29,python,1
4491,user4491@example.com,34,python,1
4639,user4639@example.com,39,python,1
15190,user15190@example.com,1,javascript,0
11399,user11399@example.com,3,python,0
3369,user3369@example.com,23,python,1
11755,user11755@example.com,10,c++,0
9379,user9379@example.com,28,python,1
12563,user12563@example.com,2,ruby,0
7680,user7680@example.com,22,python,1
7591,user7591@example.com,36,python,1
10943,user10943@example.com,3,go,0
14987,user14987@example.com,5,c++,0
8903,user8903@example.com,13,python,1
9474,user9474@example.com,20,python,1
385,user385@example.com,13,python,1
5753,user5753@example.com,21,python,1
9221,user9221@example.com,33,python,1
8128,user8128@example.com,14,python,1
274,user274@example.com,40,python,1
3841,user3841@example.com,11,python,1
11708,user11708@example.com,34,ruby,0
15020,user15020@example.com,17,javascript,0
8256,user8256@example.com,26,python,1
13639,user13639@example.com,9,ruby,0
3040,user3040@example.com,36,python,1
3049,user3049@example.com,28,python,1
15198,user15198@example.com,30,java,0
8097,user8097@example.com,30,python,1
14610,user14610@example.com,15,c++,0
2746,user2746@example.com,27,python,1
19345,user19345@example.com,31,javascript,0
15902,user15902@example.com,30,go,0
6517,user6517@example.com,27,python,1
18299,user18299@example.com,9,python,0
9175,user9175@example.com,38,python,1
10031,user10031@example.com,7,c++,0
6257,user6257@example.com,14,python,1
11186,user11186@example.com,19,c++,0
8415,user8415@example.com,21,python,1
17240,user17240@example.com,1,java,0
12756,user12756@example.com,31,ruby,0
16468,user16468@example.com,39,java,0
12126,user12126@example.com,34,c++,0
15913,user15913@example.com,8,ruby,0
15820,user15820@example.com,10,c++,0
6137,user6137@example.com,27,python,1
118,user118@example.com,34,python,1
9766,user9766@example.com,35,python,1
18871,user18871@example.com,21,go,0
15117,user15117@example.com,9,ruby,0
9978,user9978@example.com,29,python,1
2899,user2899@example.com,13,python,1
1100,user1100@example.com,32,python,1
1968,user1968@example.com,27,python,1
17188,user17188@example.com,9,python,0
12420,user12420@example.com,4,java,0
8361,user8361@example.com,31,python,1
16524,user16524@example.com,35,java,0
18601,user18601@example.com,9,c++,0
6426,user6426@example.com,40,python,1
8832,user8832@example.com,30,python,1
14916,user14916@example.com,19,c++,0
3830,user3830@example.com,11,python,1
7301,user7301@example.com,31,python,1
11951,user11951@example.com,0,go,0
11243,user11243@example.com,6,c++,0
2268,user2268@example.com,33,python,1
9204,user9204@example.com,33,python,1
7712,user7712@example.com,19,python,1
1098,user1098@example.com,38,python,1
13462,user13462@example.com,33,go,0
10154,user10154@example.com,10,java,0
19350,user19350@example.com,0,python,0
17135,user17135@example.com,9,c++,0
5768,user5768@example.com,11,python,1
11151,user11151@example.com,0,go,0
1096,user1096@example.com,11,python,1
15876,user15876@example.com,4,java,0
16491,user16491@example.com,20,c++,0
8861,user8861@example.com,18,python,1
5252,user5252@example.com,16,python,1
12733,user12733@example.com,15,javascript,0
3778,user3778@example.com,13,python,1
5713,user5713@example.com,12,python,1
5947,user5947@example.com,28,python,1
15901,user15901@example.com,27,c++,0
18151,user18151@example.com,2,c++,0
18719,user18719@example.com,31,java,0
7234,user7234@example.com,11,python,1
4179,user4179@example.com,22,python,1
2074,user2074@example.com,37,python,1
6033,user6033@example.com,16,python,1
8503,user8503@example.com,35,python,1
17858,user17858@example.com,3,javascript,0
11915,user11915@example.com,29,c++,0
7912,user7912@example.com,18,python,1
14953,user14953@example.com,27,go,0
881,user881@example.com,38,python,1
5309,user5309@example.com,39,python,1
8084,user8084@example.com,23,python,1
5746,user5746@example.com,22,python,1
17652,user17652@example.com,5,ruby,0
8150,user8150@example.com,34,python,1
3279,user3279@example.com,28,python,1
2016,user2016@example.com,12,python,1
1106,user1106@example.com,31,python,1
17926,user17926@example.com,30,javascript,0
12087,user12087@example.com,7,python,0
4815,user4815@example.com,16,python,1
15205,user15205@example.com,1,java,0
18492,user18492@example.com,7,c++,0
16946,user16946@example.com,8,ruby,0
15813,user15813@example.com,10,ruby,0
691,user691@example.com,32,python,1
9352,user9352@example.com,13,python,1
14555,user14555@example.com,30,ruby,0
14195,user14195@example.com,8,go,0
8129,user8129@example.com,20,python,1
17799,user17799@example.com,3,go,0
19399,user19399@example.com,37,javascript,0
2481,user2481@example.com,26,python,1
15974,user15974@example.com,6,c++,0
6217,user6217@example.com,30,python,1
14609,user14609@example.com,37,javascript,0
15241,user15241@example.com,36,c++,0
5960,user5960@example.com,40,python,1
4080,user4080@example.com,38,python,1
6557,user6557@example.com,20,python,1
19265,user19265@example.com,24,javascript,0
12311,user12311@example.com,36,ruby,0
15602,user15602@example.com,33,go,0
10720,user10720@example.com,12,go,0
15113,user15113@example.com,26,go,0
8874,user8874@example.com,34,python,1
6608,user6608@example.com,37,python,1
2364,user2364@example.com,20,python,1
8599,user8599@example.com,20,python,1
19217,user19217@example.com,9,javascript,0
6521,user6521@example.com,36,python,1
6006,user6006@example.com,30,python,1
4979,user4979@example.com,37,python,1
8181,user8181@example.com,36,python,1
2309,user2309@example.com,36,python,1
16968,user16968@example.com,1,c++,0
19259,user19259@example.com,7,java,0
16164,user16164@example.com,18,ruby,0
11809,user11809@example.com,0,ruby,0
7908,user7908@example.com,32,python,1
3410,user3410@example.com,21,python,1
4535,user4535@example.com,25,python,1
13839,user13839@example.com,3,c++,0
7650,user7650@example.com,21,python,1
9729,user9729@example.com,26,python,1
490,user490@example.com,11,python,1
6355,user6355@example.com,29,python,1
6727,user6727@example.com,39,python,1
13761,user13761@example.com,8,ruby,0
14773,user14773@example.com,1,ruby,0
2164,user2164@example.com,30,python,1
17132,user17132@example.com,5,javascript,0
8791,user8791@example.com,19,python,1
17308,user17308@example.com,10,c++,0
19219,user19219@example.com,12,c++,0
12834,user12834@example.com,24,c++,0
879,user879@example.com,18,python,1
11348,user11348@example.com,25,c++,0
3216,user3216@example.com,26,python,1
12880,user12880@example.com,3,c++,0
19019,user19019@example.com,1,javascript,0
7036,user7036@example.com,38,python,1
12953,user12953@example.com,35,javascript,0
3231,user3231@example.com,21,python,1
16566,user16566@example.com,19,go,0
14785,user14785@example.com,23,ruby,0
9694,user9694@example.com,33,python,1
10816,user10816@example.com,40,javascript,0
13975,user13975@example.com,5,javascript,0
14646,user14646@example.com,21,c++,0
2356,user2356@example.com,27,python,1
6155,user6155@example.com,25,python,1
3614,user3614@example.com,19,python,1
14369,user14369@example.com,4,javascript,0
3646,user3646@example.com,29,python,1
12162,user12162@example.com,9,python,0
7968,user7968@example.com,15,python,1
19823,user19823@example.com,0,c++,0
11571,user11571@example.com,3,ruby,0
17538,user17538@example.com,5,go,0
16919,user16919@example.com,9,python,0
5917,user5917@example.com,21,python,1
5963,user5963@example.com,32,python,1
16857,user16857@example.com,12,c++,0
3421,user3421@example.com,18,python,1
375,user375@example.com,23,python,1
3805,user3805@example.com,22,python,1
4330,user4330@example.com,16,python,1
1830,user1830@example.com,19,python,1
5014,user5014@example.com,16,python,1
4729,user4729@example.com,32,python,1
627,user627@example.com,21,python,1
10266,user10266@example.com,20,ruby,0
3050,user3050@example.com,20,python,1
13629,user13629@example.com,0,c++,0
10917,user10917@example.com,6,java,0
13578,user13578@example.com,9,c++,0
12970,user12970@example.com,2,c++,0
5507,user5507@example.com,34,python,1
11437,user11437@example.com,7,javascript,0
14976,user14976@example.com,0,ruby,0
17555,user17555@example.com,8,go,0
14608,user14608@example.com,24,c++,0
2714,user2714@example.com,12,python,1
9378,user9378@example.com,22,python,1
12148,user12148@example.com,1,java,0
4048,user4048@example.com,15,python,1
16267,user16267@example.com,0,c++,0
6477,user6477@example.com,25,python,1
1415,user1415@example.com,19,python,1
5169,user5169@example.com,35,python,1
8663,user8663@example.com,26,python,1
3601,user3601@example.com,16,python,1
7465,user7465@example.com,37,python,1
9935,user9935@example.com,34,python,1
13743,user13743@example.com,3,c++,0
7272,user7272@example.com,25,python,1
13405,user13405@example.com,26,ruby,0
5747,user5747@example.com,17,python,1
16530,user16530@example.com,6,ruby,0
2245,user2245@example.com,27,python,1
9713,user9713@example.com,34,python,1
4526,user4526@example.com,30,python,1
5225,user5225@example.com,28,python,1
13010,user13010@example.com,7,ruby,0
13475,user13475@example.com,10,java,0
14800,user14800@example.com,4,go,0
17297,user17297@example.com,10,c++,0
2649,user2649@example.com,12,python,1
7079,user7079@example.com,17,python,1
10545,user10545@example.com,5,javascript,0
5223,user5223@example.com,29,python,1
12919,user12919@example.com,10,ruby,0
3719,user3719@example.com,18,python,1
19254,user19254@example.com,12,java,0
4574,user4574@example.com,39,python,1
11720,user11720@example.com,27,go,0
12498,user12498@example.com,8,ruby,0
3846,user3846@example.com,19,python,1
16567,user16567@example.com,28,go,0
4260,user4260@example.com,14,python,1
12599,user12599@example.com,2,javascript,0
19646,user19646@example.com,23,ruby,0
9200,user9200@example.com,11,python,1
16148,user16148@example.com,2,ruby,0
11798,user11798@example.com,8,javascript,0
4099,user4099@example.com,28,python,1
9717,user9717@example.com,27,python,1
13249,user13249@example.com,31,javascript,0
13180,user13180@example.com,27,ruby,0
4406,user4406@example.com,24,python,1
2384,user2384@example.com,25,python,1
19085,user19085@example.com,1,go,0
15783,user15783@example.com,40,javascript,0
833,user833@example.com,22,python,1
7222,user7222@example.com,28,python,1
14902,user14902@example.com,34,java,0
12652,user12652@example.com,4,java,0
19889,user19889@example.com,19,javascript,0
19197,user19197@example.com,19,javascript,0
8680,user8680@example.com,34,python,1
1427,user1427@example.com,31,python,1
19809,user19809@example.com,3,ruby,0
7981,user7981@example.com,31,python,1
9843,user9843@example.com,15,python,1
14964,user14964@example.com,9,c++,0
5908,user5908@example.com,21,python,1
12056,user12056@example.com,9,c++,0
16262,user16262@example.com,3,c++,0
17838,user17838@example.com,13,go,0
19660,user19660@example.com,3,ruby,0
12743,user12743@example.com,10,c++,0
14332,user14332@example.com,9,java,0
13711,user13711@example.com,8,go,0
1185,user1185@example.com,23,python,1
126,user126@example.com,27,python,1
14457,user14457@example.com,2,java,0
2069,user2069@example.com,15,python,1
16418,user16418@example.com,12,java,0
2022,user2022@example.com,28,python,1
1954,user1954@example.com,40,python,1
9477,user9477@example.com,30,python,1
6045,user6045@example.com,37,python,1
10973,user10973@example.com,16,java,0
8826,user8826@example.com,26,python,1
19192,user19192@example.com,32,c++,0
5803,user5803@example.com,31,python,1
16329,user16329@example.com,8,python,0
7201,user7201@example.com,27,python,1
4678,user4678@example.com,11,python,1
18513,user18513@example.com,23,java,0
10308,user10308@example.com,0,ruby,0
2003,user2003@example.com,13,python,1
1564,user1564@example.com,27,python,1
6400,user6400@example.com,15,python,1
2255,user2255@example.com,40,python,1
7310,user7310@example.com,24,python,1
8976,user8976@example.com,14,python,1
18583,user18583@example.com,11,ruby,0
12294,user12294@example.com,32,c++,0
14747,user14747@example.com,12,java,0
13015,user13015@example.com,6,ruby,0
19464,user19464@example.com,5,ruby,0
2095,user2095@example.com,28,python,1
11100,user11100@example.com,8,python,0
8176,user8176@example.com,30,python,1
5609,user5609@example.com,15,python,1
15652,user15652@example.com,29,javascript,0
10339,user10339@example.com,0,python,0
2925,user2925@example.com,12,python,1
9760,user9760@example.com,38,python,1
13314,user13314@example.com,8,ruby,0
6896,user6896@example.com,17,python,1
11742,user11742@example.com,40,ruby,0
5520,user5520@example.com,27,python,1
10837,user10837@example.com,12,c++,0
11085,user11085@example.com,9,python,0
3567,user3567@example.com,22,python,1
17120,user17120@example.com,6,go,0
300,user300@example.com,37,python,1
16023,user16023@example.com,0,ruby,0
14552,user14552@example.com,4,javascript,0
2819,user2819@example.com,24,python,1
17769,user17769@example.com,10,go,0
18210,user18210@example.com,15,java,0
12729,user12729@example.com,10,ruby,0
9660,user9660@example.com,40,python,1
3565,user3565@example.com,28,python,1
11745,user11745@example.com,1,ruby,0
11359,user11359@example.com,6,java,0
14818,user14818@example.com,4,go,0
17343,user17343@example.com,9,java,0
8992,user8992@example.com,40,python,1
6401,user6401@example.com,21,python,1
1642,user1642@example.com,31,python,1
9890,user9890@example.com,12,python,1
11183,user11183@example.com,21,ruby,0
10044,user10044@example.com,24,java,0
5085,user5085@example.com,40,python,1
6112,user6112@example.com,34,python,1
18863,user18863@example.com,6,python,0
7526,user7526@example.com,35,python,1
16833,user16833@example.com,8,go,0
17540,user17540@example.com,33,ruby,0
6938,user6938@example.com,20,python,1
13295,user13295@example.com,26,c++,0
14460,user14460@example.com,8,java,0
13134,user13134@example.com,1,javascript,0
4464,user4464@example.com,23,python,1
10368,user10368@example.com,8,javascript,0
16361,user16361@example.com,8,c++,0
19021,user19021@example.com,25,javascript,0
3815,user3815@example.com,38,python,1
16819,user16819@example.com,1,python,0
11452,user11452@example.com,27,c++,0
173,user173@example.com,25,python,1
2575,user2575@example.com,22,python,1
6195,user6195@example.com,30,python,1
3573,user3573@example.com,12,python,1
18450,user18450@example.com,10,javascript,0
8523,user8523@example.com,34,python,1
11107,user11107@example.com,12,ruby,0
9008,user9008@example.com,15,python,1
9657,user9657@example.com,25,python,1
15521,user15521@example.com,9,go,0
15456,user15456@example.com,39,java,0
8031,user8031@example.com,21,python,1
2919,user2919@example.com,37,python,1
18320,user18320@example.com,5,python,0
10840,user10840@example.com,26,go,0
19737,user19737@example.com,6,ruby,0
12900,user12900@example.com,13,go,0
16106,user16106@example.com,10,go,0
8178,user8178@example.com,27,python,1
280,user280@example.com,16,python,1
16642,user16642@example.com,3,javascript,0
1227,user1227@example.com,20,python,1
15111,user15111@example.com,4,c++,0
14648,user14648@example.com,0,go,0
1880,user1880@example.com,36,python,1
14446,user14446@example.com,40,javascript,0
1816,user1816@example.com,25,python,1
3777,user3777@example.com,40,python,1
13819,user13819@example.com,19,ruby,0
16907,user16907@example.com,3,python,0
17159,user17159@example.com,12,c++,0
19226,user19226@example.com,11,javascript,0
14112,user14112@example.com,3,ruby,0
4766,user4766@example.com,32,python,1
7164,user7164@example.com,26,python,1
18936,user18936@example.com,1,go,0
14063,user14063@example.com,4,go,0
17974,user17974@example.com,11,javascript,0
2758,user2758@example.com,16,python,1
11080,user11080@example.com,37,go,0
6463,user6463@example.com,29,python,1
17805,user17805@example.com,20,java,0
7094,user7094@example.com,23,python,1
17140,user17140@example.com,8,python,0
1824,user1824@example.com,33,python,1
10187,user10187@example.com,1,go,0
11923,user11923@example.com,12,javascript,0
19447,user19447@example.com,39,javascript,0
5821,user5821@example.com,37,python,1
5022,user5022@example.com,26,python,1
19638,user19638@example.com,14,go,0
19851,user19851@example.com,3,ruby,0
17108,user17108@example.com,22,javascript,0
8731,user8731@example.com,14,python,1
1506,user1506@example.com,29,python,1
16082,user16082@example.com,6,go,0
7090,user7090@example.com,23,python,1
11382,user11382@example.com,21,go,0
19610,user19610@example.com,9,c++,0
9790,user9790@example.com,32,python,1
14816,user14816@example.com,10,javascript,0
11544,user11544@example.com,7,javascript,0
18766,user18766@example.com,4,c++,0
2468,user2468@example.com,34,python,1
11778,user11778@example.com,28,c++,0
7921,user7921@example.com,18,python,1
6408,user6408@example.com,24,python,1
13450,user13450@example.com,24,javascript,0
16716,user16716@example.com,37,c++,0
15882,user15882@example.com,3,javascript,0
7709,user7709@example.com,35,python,1
13695,user13695@example.com,0,ruby,0
5590,user5590@example.com,32,python,1
5382,user5382@example.com,24,python,1
13936,user13936@example.com,7,java,0
2203,user2203@example.com,31,python,1
15792,user15792@example.com,2,go,0
14901,user14901@example.com,8,c++,0
16302,user16302@example.com,0,go,0
10525,user10525@example.com,10,java,0
7402,user7402@example.com,29,python,1
12443,user12443@example.com,10,c++,0
16598,user16598@example.com,4,python,0
14620,user14620@example.com,4,java,0
18333,user18333@example.com,4,go,0
17424,user17424@example.com,3,javascript,0
19154,user19154@example.com,6,c++,0
98,user98@example.com,12,python,1
15891,user15891@example.com,11,java,0
19519,user19519@example.com,24,c++,0
330,user330@example.com,15,python,1
1541,user1541@example.com,15,python,1
437,user437@example.com,39,python,1
10523,user10523@example.com,22,javascript,0
1922,user1922@example.com,40,python,1
16951,user16951@example.com,13,java,0
17948,user17948@example.com,1,c++,0
15383,user15383@example.com,4,java,0
8879,user8879@example.com,23,python,1
1141,user1141@example.com,26,python,1
12767,user12767@example.com,34,java,0
6051,user6051@example.com,29,python,1
12202,user12202@example.com,5,ruby,0
13334,user13334@example.com,5,c++,0
16897,user16897@example.com,37,c++,0
8629,user8629@example.com,30,python,1
17777,user17777@example.com,31,ruby,0
11310,user11310@example.com,34,ruby,0
19709,user19709@example.com,6,ruby,0
5679,user5679@example.com,31,python,1
10497,user10497@example.com,3,python,0
14110,user14110@example.com,7,ruby,0
6901,user6901@example.com,14,python,1
6249,user6249@example.com,24,python,1
15239,user15239@example.com,7,ruby,0
19982,user19982@example.com,10,python,0
12850,user12850@example.com,16,javascript,0
17338,user17338@example.com,7,c++,0
1008,user1008@example.com,16,python,1
10577,user10577@example.com,27,ruby,0
15550,user15550@example.com,26,ruby,0
12940,user12940@example.com,27,ruby,0
1434,user1434@example.com,23,python,1
12046,user12046@example.com,7,c++,0
12454,user12454@example.com,38,ruby,0
15103,user15103@example.com,31,go,0
6044,user6044@example.com,23,python,1
5658,user5658@example.com,19,python,1
19459,user19459@example.com,3,java,0
19654,user19654@example.com,30,ruby,0
10190,user10190@example.com,17,ruby,0
9235,user9235@example.com,33,python,1
16138,user16138@example.com,30,c++,0
9937,user9937@example.com,36,python,1
1889,user1889@example.com,28,python,1
14514,user14514@example.com,0,ruby,0
14197,user14197@example.com,10,c++,0
5545,user5545@example.com,40,python,1
19047,user19047@example.com,2,c++,0
2076,user2076@example.com,27,python,1
11110,user11110@example.com,40,ruby,0
15242,user15242@example.com,26,javascript,0
17365,user17365@example.com,8,javascript,0
11380,user11380@example.com,3,java,0
11002,user11002@example.com,8,c++,0
13870,user13870@example.com,4,javascript,0
5075,user5075@example.com,14,python,1
18460,user18460@example.com,7,ruby,0
17586,user17586@example.com,8,javascript,0
17607,user17607@example.com,0,python,0
400,user400@example.com,39,python,1
7416,user7416@example.com,20,python,1
11492,user11492@example.com,10,ruby,0
227,user227@example.com,17,python,1
16657,user16657@example.com,9,go,0
7790,user7790@example.com,32,python,1
5422,user5422@example.com,35,python,1
16228,user16228@example.com,7,ruby,0
16479,user16479@example.com,26,c++,0
18982,user18982@example.com,8,c++,0
7132,user7132@example.com,39,python,1
3059,user3059@example.com,15,python,1
16807,user16807@example.com,7,c++,0
17420,user17420@example.com,38,javascript,0
610,user610@example.com,16,python,1
5913,user5913@example.com,19,python,1
14433,user14433@example.com,29,javascript,0
4960,user4960@example.com,28,python,1
386,user386@example.com,14,python,1
14655,user14655@example.com,32,c++,0
4157,user4157@example.com,20,python,1
260,user260@example.com,30,python,1
16308,user16308@example.com,33,c++,0
17965,user17965@example.com,4,java,0
8463,user8463@example.com,27,python,1
10271,user10271@example.com,21,c++,0
12584,user12584@example.com,18,ruby,0
11039,user11039@example.com,22,java,0
3578,user3578@example.com,31,python,1
5767,user5767@example.com,27,python,1
17407,user17407@example.com,7,ruby,0
17995,user17995@example.com,35,c++,0
6379,user6379@example.com,14,python,1
2727,user2727@example.com,37,python,1
9421,user9421@example.com,31,python,1
11090,user11090@example.com,9,go,0
12823,user12823@example.com,6,javascript,0
10960,user10960@example.com,8,ruby,0
2062,user2062@example.com,32,python,1
621,user621@example.com,38,python,1
3743,user3743@example.com,13,python,1
17695,user17695@example.com,27,ruby,0
773,user773@example.com,25,python,1
6951,user6951@example.com,31,python,1
3544,user3544@example.com,18,python,1
11992,user11992@example.com,7,java,0
18125,user18125@example.com,8,go,0
3358,user3358@example.com,40,python,1
6103,user6103@example.com,37,python,1
12482,user12482@example.com,2,ruby,0
10240,user10240@example.com,1,ruby,0
17790,user17790@example.com,0,c++,0
12373,user12373@example.com,10,java,0
13594,user13594@example.com,17,ruby,0
7086,user7086@example.com,26,python,1
16410,user16410@example.com,22,c++,0
10976,user10976@example.com,6,c++,0
1070,user1070@example.com,26,python,1
1615,user1615@example.com,16,python,1
8792,user8792@example.com,36,python,1
4001,user4001@example.com,29,python,1
5241,user5241@example.com,34,python,1
10075,user10075@example.com,37,c++,0
6109,user6109@example.com,40,python,1
18883,user18883@example.com,6,python,0
19220,user19220@example.com,1,c++,0
11076,user11076@example.com,5,java,0
3001,user3001@example.com,15,python,1
16837,user16837@example.com,34,go,0
3276,user3276@example.com,32,python,1
10544,user10544@example.com,2,ruby,0
7920,user7920@example.com,25,python,1
4861,user4861@example.com,38,python,1
16446,user16446@example.com,9,ruby,0
6455,user6455@example.com,16,python,1
15757,user15757@example.com,35,javascript,0
16280,user16280@example.com,26,javascript,0
499,user499@example.com,13,python,1
10796,user10796@example.com,37,javascript,0
1826,user1826@example.com,15,python,1
19355,user19355@example.com,8,go,0
13026,user13026@example.com,16,c++,0
1634,user1634@example.com,39,python,1
6669,user6669@example.com,17,python,1
11008,user11008@example.com,9,javascript,0
10732,user10732@example.com,29,java,0
19252,user19252@example.com,3,javascript,0
10040,user10040@example.com,19,javascript,0
10984,user10984@example.com,3,go,0
13389,user13389@example.com,2,go,0
17651,user17651@example.com,6,ruby,0
10531,user10531@example.com,3,javascript,0
2382,user2382@example.com,30,python,1
10066,user10066@example.com,4,java,0
12591,user12591@example.com,9,python,0
19651,user19651@example.com,3,ruby,0
11657,user11657@example.com,12,c++,0
12011,user12011@example.com,3,java,0
9124,user9124@example.com,19,python,1
10689,user10689@example.com,9,java,0
35,user35@example.com,25,python,1
2137,user2137@example.com,16,python,1
4968,user4968@example.com,31,python,1
2529,user2529@example.com,35,python,1
16139,user16139@example.com,18,ruby,0
19043,user19043@example.com,10,c++,0
17822,user17822@example.com,9,javascript,0
17330,user17330@example.com,10,go,0
19056,user19056@example.com,12,go,0
16889,user16889@example.com,38,c++,0
10166,user10166@example.com,5,python,0
12436,user12436@example.com,5,java,0
4409,user4409@example.com,31,python,1
17621,user17621@example.com,33,javascript,0
12155,user12155@example.com,8,java,0
11458,user11458@example.com,4,javascript,0
1232,user1232@example.com,28,python,1
11442,user11442@example.com,15,c++,0
4915,user4915@example.com,20,python,1
19292,user19292@example.com,0,python,0
12392,user12392@example.com,8,javascript,0
3172,user3172@example.com,33,python,1
12968,user12968@example.com,18,java,0
7001,user7001@example.com,25,python,1
18005,user18005@example.com,4,python,0
459,user459@example.com,22,python,1
16779,user16779@example.com,40,c++,0
19074,user19074@example.com,38,c++,0
9033,user9033@example.com,17,python,1
5944,user5944@example.com,37,python,1
5282,user5282@example.com,12,python,1
11075,user11075@example.com,2,go,0
20000,user20000@example.com,7,java,0
18403,user18403@example.com,40,javascript,0
17261,user17261@example.com,23,java,0
6671,user6671@example.com,22,python,1
790,user790@example.com,19,python,1
6161,user6161@example.com,34,python,1
4329,user4329@example.com,32,python,1
17363,user17363@example.com,8,go,0
4702,user4702@example.com,35,python,1
4374,user4374@example.com,21,python,1
7533,user7533@example.com,37,python,1
6953,user6953@example.com,19,python,1
4234,user4234@example.com,39,python,1
13512,user13512@example.com,27,c++,0
14650,user14650@example.com,0,ruby,0
7012,user7012@example.com,29,python,1
13381,user13381@example.com,5,go,0
16941,user16941@example.com,37,javascript,0
7544,user7544@example.com,24,python,1
10449,user10449@example.com,6,c++,0
16957,user16957@example.com,33,javascript,0
16579,user16579@example.com,35,java,0
2630,user2630@example.com,16,python,1
18579,user18579@example.com,5,python,0
2386,user2386@example.com,37,python,1
13683,user13683@example.com,40,c++,0
8229,user8229@example.com,22,python,1
7227,user7227@example.com,16,python,1
15257,user15257@example.com,8,java,0
2117,user2117@example.com,23,python,1
14311,user14311@example.com,8,c++,0
18217,user18217@example.com,13,c++,0
19087,user19087@example.com,32,java,0
4550,user4550@example.com,12,python,1
7720,user7720@example.com,15,python,1
17008,user17008@example.com,8,javascript,0
4468,user4468@example.com,18,python,1
9334,user9334@example.com,13,python,1
5221,user5221@example.com,19,python,1
11965,user11965@example.com,39,c++,0
14725,user14725@example.com,0,c++,0
12960,user12960@example.com,1,java,0
5458,user5458@example.com,30,python,1
2306,user2306@example.com,32,python,1
2215,user2215@example.com,22,python,1
7010,user7010@example.com,14,python,1
11857,user11857@example.com,2,ruby,0
5441,user5441@example.com,20,python,1
308,user308@example.com,29,python,1
6087,user6087@example.com,28,python,1
18448,user18448@example.com,36,c++,0
17628,user17628@example.com,5,javascript,0
4314,user4314@example.com,21,python,1
7710,user7710@example.com,30,python,1
14940,user14940@example.com,9,python,0
2451,user2451@example.com,32,python,1
5976,user5976@example.com,16,python,1
18549,user18549@example.com,8,python,0
320,user320@example.com,16,python,1
8560,user8560@example.com,34,python,1
4599,user4599@example.com,17,python,1
4600,user4600@example.com,28,python,1
13808,user13808@example.com,10,java,0
18414,user18414@example.com,1,java,0
17060,user17060@example.com,6,ruby,0
